Statistical profiling result from artillery_con_log.log, (5014 ticks, 59 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^get data /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/session/cookie.js:117:11
      1    0.0%    0.0%  Function: ^get address /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:93:16
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_duplex.js:120:20
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:673:20
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/promise_provider.js:30:15
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/bson.js:28:74
      1    0.0%    0.0%  Function: ^fromStringFast node:buffer:413:24
      1    0.0%    0.0%  Function: ^fromString node:buffer:432:20
      1    0.0%    0.0%  Function: ^fromArrayBuffer node:buffer:449:25
      1    0.0%    0.0%  Function: ^formatRaw node:internal/util/inspect:820:19
      1    0.0%    0.0%  Function: ^formatPrimitive node:internal/util/inspect:1519:25
      1    0.0%    0.0%  Function: ^findOne /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:219:12
      1    0.0%    0.0%  Function: ^findLongestRegisteredExtension node:internal/modules/cjs/loader:413:40
      1    0.0%    0.0%  Function: ^find /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:236:9
      1    0.0%    0.0%  Function: ^exports.sign /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/cookie-signature/index.js:16:24
      1    0.0%    0.0%  Function: ^exports.shallowCopyFromList /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/utils.js:145:40
      1    0.0%    0.0%  Function: ^executeOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:11:26
      1    0.0%    0.0%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      1    0.0%    0.0%  Function: ^deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.0%    0.0%  Function: ^deserialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:36:21
      1    0.0%    0.0%  Function: ^deserialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/bson.js:161:21
      1    0.0%    0.0%  Function: ^debug /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^createWriteHead /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/on-headers/index.js:24:26
      1    0.0%    0.0%  Function: ^connect /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connect.js:30:17
      1    0.0%    0.0%  Function: ^completeEndSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:138:40
      1    0.0%    0.0%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.0%  Function: ^command /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:152:12
      1    0.0%    0.0%  Function: ^applySession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:661:22
      1    0.0%    0.0%  Function: ^alignPool node:buffer:159:19
      1    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.0%  Function: ^afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  Function: ^adjustOffset node:buffer:1099:22
      1    0.0%    0.0%  Function: ^acquire /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:597:12
      1    0.0%    0.0%  Function: ^_write node:internal/streams/writable:283:16
      1    0.0%    0.0%  Function: ^_write /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston-transport/index.js:69:51
      1    0.0%    0.0%  Function: ^_initialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cursor/find_cursor.js:48:16
      1    0.0%    0.0%  Function: ^_destroy node:internal/streams/destroy:70:18
      1    0.0%    0.0%  Function: ^_destroy node:_http_incoming:176:55
      1    0.0%    0.0%  Function: ^_copyActual node:buffer:243:21
      1    0.0%    0.0%  Function: ^_addListener node:events:554:22
      1    0.0%    0.0%  Function: ^Writable.write node:internal/streams/writable:333:36
      1    0.0%    0.0%  Function: ^Writable.write /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:288:37
      1    0.0%    0.0%  Function: ^UpdateOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/update.js:10:16
      1    0.0%    0.0%  Function: ^StatsBase node:internal/fs/utils:400:19
      1    0.0%    0.0%  Function: ^Readable.resume node:internal/streams/readable:963:37
      1    0.0%    0.0%  Function: ^Readable.read /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:392:36
      1    0.0%    0.0%  Function: ^ObjectId /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/objectid.js:24:22
      1    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.0%  Function: ^Long.sub /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:726:35
      1    0.0%    0.0%  Function: ^Long.isNegative /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:493:42
      1    0.0%    0.0%  Function: ^FindOperation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/find.js:13:16
      1    0.0%    0.0%  Function: ^ConnectionCheckOutStartedEvent /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool_events.js:90:16
      1    0.0%    0.0%  Function: ^ClientSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:45:16
      1    0.0%    0.0%  Function: ^Binary.value /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/binary.js:154:39
      1    0.0%    0.0%  Function: ^BinMsg /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:394:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:222:42
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:680:42
