Statistical profiling result from artillery_sin_log.log, (4778 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^limit /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cursor/find_cursor.js:353:10
      1    0.0%    0.0%  Function: ^keylogNewListener node:_tls_wrap:691:29
      1    0.0%    0.0%  Function: ^insert node:internal/timers:350:16
      1    0.0%    0.0%  Function: ^highWaterMarkFrom node:internal/streams/state:10:27
      1    0.0%    0.0%  Function: ^hasAspect /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/operation.js:37:14
      1    0.0%    0.0%  Function: ^getStrictOption /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/safe-stable-stringify/index.js:198:26
      1    0.0%    0.0%  Function: ^getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      1    0.0%    0.0%  Function: ^get writeConcern /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:127:21
      1    0.0%    0.0%  Function: ^get snapshotEnabled /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:100:24
      1    0.0%    0.0%  Function: ^get readConcern /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:104:20
      1    0.0%    0.0%  Function: ^get node:internal/streams/writable:849:8
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1202:18
      1    0.0%    0.0%  Function: ^get node:internal/bootstrap/pre_execution:319:8
      1    0.0%    0.0%  Function: ^get node:_http_incoming:108:16
      1    0.0%    0.0%  Function: ^get loadBalanced /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:103:21
      1    0.0%    0.0%  Function: ^get loadBalanced /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:91:21
      1    0.0%    0.0%  Function: ^get length /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:809:15
      1    0.0%    0.0%  Function: ^get hasDataBearingServers /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology_description.js:230:30
      1    0.0%    0.0%  Function: ^get generation /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection.js:98:19
      1    0.0%    0.0%  Function: ^get canRetryWrite /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/command.js:42:22
