Statistical profiling result from autocannon_sin_log.log, (4825 ticks, 77 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^executeCommand /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/operations/command.js:48:19
      1    0.0%    0.0%  Function: ^error /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/serve-static/index.js:115:39
      1    0.0%    0.0%  Function: ^end /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/index.js:250:27
      1    0.0%    0.0%  Function: ^encodings /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/negotiator/index.js:52:52
      1    0.0%    0.0%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      1    0.0%    0.0%  Function: ^e /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/@faker-js/faker/dist/cjs/locales/index.js:1:265
      1    0.0%    0.0%  Function: ^digest node:internal/crypto/hash:146:40
      1    0.0%    0.0%  Function: ^digest node:internal/crypto/hash:115:40
      1    0.0%    0.0%  Function: ^createHash node:crypto:129:20
      1    0.0%    0.0%  Function: ^connect node:_tls_wrap:1597:35
      1    0.0%    0.0%  Function: ^configure /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/safe-stable-stringify/index.js:214:20
      1    0.0%    0.0%  Function: ^collationNotSupported /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:430:31
      1    0.0%    0.0%  Function: ^clearTimeout node:timers:184:22
      1    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.0%  Function: ^checkListener node:events:257:23
      1    0.0%    0.0%  Function: ^base64ByteLength node:buffer:577:26
      1    0.0%    0.0%  Function: ^attempt /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/passport/lib/middleware/authenticate.js:180:22
      1    0.0%    0.0%  Function: ^arrayClone node:events:883:20
      1    0.0%    0.0%  Function: ^alignPool node:buffer:159:19
      1    0.0%    0.0%  Function: ^adjustOffset node:buffer:1099:22
      1    0.0%    0.0%  Function: ^_send node:_http_outgoing:319:49
      1    0.0%    0.0%  Function: ^_onceWrap node:events:650:19
      1    0.0%    0.0%  Function: ^_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.0%  Function: ^_destroy node:_http_incoming:176:55
      1    0.0%    0.0%  Function: ^Socket.<computed> node:net:765:46
      1    0.0%    0.0%  Function: ^ServerDescription /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server_description.js:35:16
      1    0.0%    0.0%  Function: ^Readable.on node:internal/streams/readable:874:33
      1    0.0%    0.0%  Function: ^LazyTransform node:internal/streams/lazy_transform:20:23
      1    0.0%    0.0%  Function: ^Hmac node:internal/crypto/hash:127:14
      1    0.0%    0.0%  Function: ^EventEmitter.init node:events:326:29
      1    0.0%    0.0%  Function: ^ConnectionCheckOutStartedEvent /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool_events.js:90:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:236:42
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:668:38
